"artistid","artist"
401,buddy guy - junior wells - little water and otis rush
402,slim harpo
405,unkle
406,elton john
407,sonoton authentic series
408,a woman's touch 2
409,g.j. mensinga
410,tom clancy
411,peter kater
412,presuntos implicados
413,smoljak-cimrman-sverak
415,hedkandi
416,adiemus
417,"reed, lou"
419,michael vetter
420,jamie cullum
421,klaus schulze
422,bob dylan
423,mary j. blige
424,blues
425,compilation
427,krust
428,whitney houston
429,usher
430,r.kelly
434,simply red
437,feel
438,billy joe royal
439,hed kandi
441,britney spears
442,"feldman, morton"
443,lisa stanfield
444,willu (encoded by linuxdoc);
445,omaha blues society
446,matchbox 20
447,eckhard tolle
448,herbie hancock
450,robert normann
451,errol dixon
452,the jimi hendrix experience
453,dean martin
454,t-bone walker
455,mark steiner
458,blind willie mctell
460,louis armstrong
461,smokey robinson & the miracles
463,johnny 'guitar' watson
465,robert johnson
466,the shadows
467,corey harris
469,black & blues vol 2
470,blind lemon jefferson
471,ollie & the nightingales
472,uman
473,marvin gaye
474,billy holiday
475,nat king cole
476,reverend gary davis
477,mohd. saddiq
479,carmen mcrae
480,choir of southwark cathedral
481,billie jo spears
482,speckled red
483,mosaro
485,the_blues_brothers
486,blaxploitation ed
487,albert frost
488,before the rain
489,doc watson
490,neil diamond
491,bloodshot eyes
492,ted hawkins
493,archers of loaf
494,the laux trio & joe murányi
495,jose feliciano
496,robert cray
497,michael learns to rock
498,spliff
499,dick wellstood
500,mareko
501,canned heat
502,teresa teng
503,mya
504,shakatak
505,g unit
506,basia
510,featuringthesongsofphilcollins
511,dramatics
513,kasabian
514,bugs henderson
515,pianosongalbum
516,james cotton
517,barry white
519,bob wilber's bechet legacy
520,abba
521,charlie parker
522,zz top
523,sky high
524,annabel lamb
525,little g. weevil
526,roger glover
527,grapevine
528,gontiti
529,jimi hendrix
530,the rutles
532,ella johnson with buddy johnson orchestra
533,hot toddy
536,sam lightning hopkins
537,gladys knight & the pips
538,bix beiderbecke
540,roberto johnson
541,the swampnobs
542,j.b. lenoir
543,reinhardt-grappelli
544,mick pini & peter paul bruder
545,"earth, wind and fire"
546,salvatore adamo
547,bessie smith
548,juke boy bonner
549,"louisiana ""guitar"" red"
550,karel zich
552,lightnin' wells
553,"choir of st.giles' cathedral, edinburgh"
554,moby
556,judy bailey
557,sleepy john estes
558,joe cocker
560,"ball, michael"
561,sarahbrightman
562,golden gate quartet
564,cobra
565,nina simone
566,nobody's business bluesband
567,tulip
568,"cowdrey, lewis"
569,murphy lee
570,tori amos
571,dj serjant
572,king's college - willcocks
573,"crosby, stills & nash"
574,rosenfels
576,dyango
577,randy crawford
578,la ley
579,little sonny
580,armistead maupin
581,cantoras estrangeiras
582,slows
583,michel sardou
584,janis joplin
585,sheryl crow
586,aerosmith
587,bjork
588,santana
590,thee michelle gun elephant
591,natasha st-pier
593,yuming+pocet biscuits
594,josé torres
595,bob log iii
596,pindakaas saxophon quartet
598,odetta
600,stan getz
601,lucille bogan & walter roland
602,danny elfman
604,"garner,erroll"
605,scrapper blackwell
606,roosevelt sykes
607,bing crosby
608,bud powell
611,watson johnny guitar
612,axel zwingenberger & gottfried böttger
613,ladies of jazz
614,best of blues
615,the masked band
616,four tops
617,jazzset
618,mississippi fred mcdowell
619,josie katz
620,suzi quatro
621,chet baker
622,glen d wright
623,compilations
624,colin towns ndr big band
625,wiesbadener juristenband
626,rudi schubert
627,dj blue
628,de | phazz
629,de la soul
630,ty
631,stefan grossman
632,secret garden
633,b.b.king
634,alicia keys
635,atomic kitten
636,jethro tull
638,jazz
640,the moody blues
641,paul ubana jones
642,bee gees
644,the first choice
646,shannon curfman
647,arid
648,red hot chili peppers
649,commodores
650,davinia
651,lastier
652,pochi y su cocoband
653,buzy
654,the rascals
655,the mills brothers
656,tito puente
657,isley brothers
658,paolo conte
659,mance lipscomb
660,bukka white
664,bb king
665,howlin' wolf
666,john petley
667,koko taylor
668,bo diddley
669,eric clapton & the yardbirds
671,rev. blind gary davis
672,lena horne
673,pablo carcamo & oscar benito
676,"1944"
678,mino kabasawa
679,delbert mcclinton
680,genival lacerda
682,omnibus jazz
683,"clapton, eric"
684,"keys, alicia"
685,stylistics
687,garou
688,bucky pizzarelli
689,isaiah owens
690,cee-lo
691,herzhaft blues
693,john mayer
694,inxs
695,clifford brown
696,div.
697,tokyo ska paradise orchestra
698,john mayall and the bluesbreakers
699,aaliyah
700,billy boy arnold
701,luther allison
702,tim maia
703,aliþan
704,sonny terry and brownie mcghee
706,southern all stars
707,the fuse
708,chris de burgh
709,blues de ville
712,ben charest
713,the mavericks
714,lionel richie
716,norsk utflukt
717,queen
720,beyonce
721,weddings parties anything
722,judas priest
723,marie fredriksson
724,münchener freiheit
725,huddie ledbetter
726,mimi ibarra
727,down low
731,"harrison, george"
732,fuji
733,whiteberry
734,escobar
735,mama's jasje
737,mariah carey
738,kaah
739,soeur plus !
740,carole frefericks & poetic lover
742,dreamsãcomeãtrue
744,deee-lite
745,miro
746,syrup16g
747,cfc
748,eva cassidy
749,core of soul
750,whiteheads
751,suzanne vega
752,penicillin
753,haccis clover
754,tm?network
755,luna sea
756,cobalt blues band
757,anugama
758,louise l hay
759,frank sinatra & dean martin
760,temptations
761,jools holland & his rhythm & blues orchestra
763,little walter
764,frankie laine
765,b. b. king
766,gerry butler
767,tom waits
768,united colors of music
770,willie nelson
771,fausto rapetti
772,the silver king band
773,lucio alves
774,barbecue bob & the spareribs
777,"audio caviar(ralph johnson,morris pleasure,steen kyed);"
778,karussell
780,the guess who
781,prokop michal & framus five
782,jagged edge
783,lars-luis linek
784,shurwayne winchester
785,"5 blind boys of alabama"
787,jack teagarden
788,proclaim jesus
790,sutherland - caballe - pavarotti - mehta
791,john mayall
792,little milton
793,sissel
795,music
796,mississippi john hurt
798,mark knopfler
799,de-phazz
802,moya brennan
803,dahlke
804,diane schuur
805,mink de ville
807,charlie sayles
808,sting
809,"bennett, duster"
810,neville dickie & louis mazetier
812,blue magic
813,crazy frog
814,seleção
815,mikaila
816,air
817,"22-20s"
818,kylie minogue
819,christina aguilera
820,flans
821,enrique iglesias
822,- arash
823,edsilia rombley
825,"hall, sandra"
826,nelly
828,stevie ray vaughan & double trouble
829,mano negra
830,nick scotti
831,freestylers
832,lauryn hill
833,charles & eddie
834,danny boy
835,skoop on somebodyï¼soul'd out
836,double you
837,mario frangoulis
839,phil chapman
840,cida moreyra
841,skip james
842,yardbirds
843,josh white
845,buddy blue
849,staple singers
851,tony bennett
853,lighnin' hopkins
855,lionel hampton
858,charles aznavour
859,v&a art deco music collection
860,tom jones and jools holland
861,eva olmerova
862,bill frisell
864,blue
865,the 101ers
866,lightnin' hopkins
867,little mack simmons
869,louis armstrong & duke ellington
870,bennie smith
871,tool
872,meters
873,talib kweli & hi tek (reflection eternal);
875,kirk fletcher
877,mumbles
878,mojo blues band
879,fleetwood mac
880,spice girls
882,parni valjak
883,bill allred's classic jazz band
