"albumid","album"
5207,sunshine
5208,i can make it better
5209,lady rose 21th century
5210,emily (single);
5211,i like the way (single);
5212,sound trax
5213,tube
5214,dry humping the american dream
5216,rare pearls
5217,"bbc radio one, john peel show"
5219,kaleidoscope
5220,can't take that away (mariah's theme); (single);
5221,layer-green
5222,le spectrum 12-92
5223,a small nuclear device (cd-single);
5224,badsingle);
5225,carnival girl ft kardinal offishall
5226,very r.a.r.e
5227,new day
5228,sympathy for the devil remixes
5230,v.s.o.p. - the quintet - five stars
5231,he wasn't man enough
5232,at fillmore east
5233,provisorium
5234,zero tolerance for silence
5235,saxophone colossus
5236,zodiac collection vergo
5237,the color of love
5238,live in germany 1976
5239,alive & cooking (live);
5240,new age relajación
5241,rhythmic tide
5242,backstairs
5243,i'm an after hour man
5244,hard talk
5246,shekhina
5247,chez moi
5250,singing the blues
5251,rive gauche on radio
5252,jazz sessions
5253,"99-30"
5254,the hook
5255,crazeology studies
5256,romantic slows
5257,stop and listen
5258,giants of jazz
5259,c'est si bon
5260,the way up
5262,live.with a little helpfriends
5264,move on up (the singles anthology 1970-90);1
5265,high performance mind
5266,"2c10dd14c11146d0"
5267,plays harold arlen & west sde story
5269,cool velvet & voices
5270,business english: smal talk
5271,"sufies, dervishes and qalandars"
5273,tribulation force-an experience in sound and drama
5275,"40 jahre elb meadow ramblers dresden"
5276,goldof
5279,antichrist superstar
5281,time is tight
5282,can't wait until tonight
5283,get the liberty
5284,smile & sigh
5285,mermaids
5287,medicine
5288,true companion - single
5289,the remixes featuring pyx lax
5290,happy cosmos
5291,way to mars
5292,foam kisses
5293,to be continued . (cd-single);
5294,fly like an eagle
5295,ich find dich scheisse (cd-maxi-single);
5296,salina
5297,say you will (bonus cd);
5298,where ur at
5299,express yourself - straight outta compton
5300,b-boys & flygirls
5301,grip
5302,live (ep);
5303,los americanos ep
5304,sïa .1 ka-shin-hou-zou
5305,twenty foreplay
5307,hey hey baby you're no.1
5308,poker game of life
5309,one summer day
5310,miss california (maxi);
5311,i wanna be downsingle);
5312,clubhopping [mcd]
5313,mixes
5314,heal the world (single);
5315,st teresa
5316,escape
5317,circus e.p. part 1
5318,hook me up (single);
5319,love shouts
5322,pacific melody
5323,stay (all life long);
5326,you were there (single);
5327,goin' west
5329,crash (have some fun);
5330,back to the tracks
5331,crescent
5332,jackeyboard
5333,return to forever
5337,ed in rio de janeiro
5339,the queen in waiting
5340,"all the published sides, :"
5342,rising sons
5343,folie aux six
5344,the bill broonzy story
5345,hittiparaati 8
5346,"eats, shoots & leaves: cutting a dash - the radio series tha"
5347,mean ol' world (mickboy remaster);
5349,nando cordel - 20 super sucessos
5350,"20 golden hits"
5351,play the blues
5352,concerts - munich 1981
5355,nebe pocka
5356,"live , 1945 - 49"
5357,blues for christmas
5358,poet of the blues
5359,always let me go
5360,love sensuality devotion - the greatest hits
5361,ratt & roll 8191
5362,soulful anthology of nina simone colpix years
5363,high profile - the original rhymes ãgreatest hitsã
5364,dixieland band
5365,blues on the bluff
5366,its gonna be me
5367,heron
5369,w-infinity
5370,maria (single);
5371,move ya body cds
5372,pure (special limited edition - bonus cd);
5373,limited
5374,secret love (single);
5375,merry-go-round
5376,åæ ãyellã
5377,lily's e.p
5378,here i am
5379,downer of the world
5381,marijiuana devil
5382,feel the blues
5383,best minds
5384,imaginary girl
5385,the situation ep
5386,rav & business
5387,inside your heart
5388,your wildest dreams
5389,i want the world to know
5390,if you spoke to me
5391,reminise
5393,finalâpartyânight
5394,singlecd
5395,the deep end
5397,violently
5398,bible e.p
5399,baila (sexy thing);
5401,africa
5402,autour
5403,spot you in a coalmine (for japan only);
5404,jump they sayof
5405,come on
5406,enemy of life
5407,hand clappin
5408,summer in the city - maxi
5409,rise in my heart
5410,happy happy greeting
5411,live demo
5412,jessica
5413,mama said
5414,elementry physics
5415,super scream
5416,humo promo
5417,bustin' loose ep
5418,three's a crowd
5419,faded (ep);
5422,life
5423,blues without no mercy
5424,don't stop the carnival
5426,a night at birdland with the art blakey quintet
5427,"live at liberty hall, houston, tx, 1972"
5428,the jackie mcalean quintet
5429,ode to mingus
5430,masters of chants
5431,rhythm of the sea
5432,machine gun in the clown's hand
5433,up popped the devil
5434,ethno moves
5435,live mid 60's
5436,the ultimate otis redding
5438,frank sinatra cd-2
5439,ice cream
5440,filles de kilimanjaro
5441,with one voice
5443,timeless historical presents putney dandridge
5444,mojo hand
5446,the chess box: 1959-69
5447,the spirit of yoga
5448,low down blues
5449,chocolate to the bone
5450,house rent boogie
5451,fore day blues
5452,the wishing well
5453,the amazing bud powell
5455,cotton patch & tobacco belt blues
5456,carnegie hall concert 25-septembre 1954
5458,la vie en rose
5459,the beginning
5460,aretha's best
5461,"violin concerto, the lark ascending"
5462,die deutschen tophits 1993
5463,ich kann ruhig sein
5464,add it up
5465,zvyozdnaya seriya 1
5466,the best of hot blues
5467,der beste tag meines lebens - maxi
5468,sweet lorraine:
5469,live at the blue note
5470,radio jxl:a broadcastcomputer hell cabin
5471,sings for america
5472,this boowy
5473,bluesology
5477,"20 best of the bad boyz"
5478,"19 canciones"
5479,"cool sax, warm heart (from bway - hollywood);"
5481,black or white
5482,wenn es wieder sommer wird (maxi);
5483,the legendary a&m sessions
5484,how you like that
5486,in the sky
5487,trevor finlay
5488,where 's life (maxi);
5489,don't be afraid of the darksingle);
5490,romeo & juliet
5491,molson amphitheatre toronto 22-04
5492,macarena
5493,"2 way streetsingle);"
5494,hey guyz
5495,run baby run (promo);
5496,haunting the chapel
5497,regulate
5498,wild cherry
5499,go go girl
5500,debonair ep
5502,let me luv u down
5503,no way (single);
5504,gift
5505,school girl (single);
5506,winter mix 2003
5507,tears in love
5508,if you ever
5509,almost love
5510,fresh
5511,be happy
5512,do the rave stomp (m-cd);
5513,this is how we do it
5514,all good (mcd);
5515,die schmuse cd
5516,hole in my soul
5517,red light special
5518,sing hallelujah
5519,higher elevation
5520,blues revisited
5521,i can't sleep baby (if i);
5522,spiral miracle
5523,"yes, growing up"
5524,the hour of bewilderbeast-bonus
5525,ta-di-di-boom
5526,seventh heaven
5527,face down
5528,woman's touch
5529,shabfas demo cd
5530,i can call yousingle);
5531,muncipal auditorium nashville 09-77
5532,r to the a
5533,in your face good time blues music
5535,christmas pre-release ep
5536,it is a sin
5537,instrumental blues jams
5538,white reply -limited edition
5539,odisea del espacio
5540,songs inspired(ep);
5541,mi air mi eau
5542,lab remix series split ep
5543,zepp fukuoka 13-02
5544,silk
5545,live at the great american music hall
5546,breakout
5547,i believe (maxi);
5548,insomnia (maxi);
5549,third ear band
5550,things we do on video (bonus cd);
5551,jazzfest burghausen 2003
5553,trio 2
5554,the elements
5555,"wheels of fire, live at the philmore);"
5556,live in montreal
5557,improvisations
5558,suite of winds
5559,"20 of their best"
5560,changeless
5561,lien khuc tinh
5562,big 6 at montreux
5563,tajga blues
5564,cosmic journey
5565,immun-power
5566,live at legends feat. buddy guy
5567,something's cookin'-goodies
5568,it's still called the blues
5569,pretty woman dream (greatest hits);
5570,anthologyof
5571,testify
5572,r&b years
5727,five live coolest combo ep
5573,guldkorn från mäster cees memoarer
5574,mal waldron with the steve lacy quintet
5575,this is jazz
5577,the bluebird ings
5578,a journey to the south
5579,um caboverdeano satisfeito
5580,"sax o'bebop, blues up and down"
5581,leven thirty saturday night
5583,boogie
5585,life story - the very best of - cdtwo
5586,so far so good
5587,hit collection 2000
5590,non spécifié
5592,a history of uk blues and r&b
5593,imitations of life
5594,me and mr.johnson
5595,come away with me
5596,les triples
5597,namida tomaranai
5598,superhero mcd
5599,coming all the way e.p
5600,super sailorneptune
5601,missing
5602,for you für dich pour toi
5603,top speed
5604,furt vo mir
5605,rock and roll high school
5606,let's make a night to remember (single);
5607,believe in
5608,don't speak
5609,all i need
5610,a girl like other ones
5611,çç
5612,die flut
5613,zwaai je handen
5615,sharks ep
5617,my true colors
5618,carolina blues
5619,dance with me (single);
5620,color
5621,feel fine
5623,black generation
5624,lunatica ãpreludeã
5625,private paradise
5626,time distortion
5627,try again
5629,infinite journey
5630,ginseng cowboys
5631,suicide blonde uk single
5634,coframi
5635,for the moment
5636,one true womansingle);
5637,verizon wireless amphitheater selma 07-02
5638,morrow
5639,karácsonynak éjszakáján - magyar karácsony világsztárokkal
5640,monsieur joe
5642,"bass, beats & melody (maxi single);"
5643,ýnspration
5644,heart of the congos
5645,sex drive
5646,it's not about the melody
5647,o sensation (cd-single);
5648,the secret
5649,playsingle
5650,sonny side up
5651,light lines
5652,memento z banalnym tryptykiem
5653,freddie hubbard ready for freddie
5654,strings' spirit
5655,new advanced jazz (1966 savoy);
5656,clair delune vol.i
5657,mercury
5658,out of new orleans [bear family]
5659,hoochie coochie man
5660,live at montmartre2
5661,hang it on the wall
5662,"magician's nephew, the - kenneth branagh"
5663,original 1938 radio transcriptions
5664,magical treatments
5665,the definitive charley pattonone);
5666,earl hines and his orchestra
5667,trio
5668,miaskovsky symphony no.6 in eb minor op.23
5669,live at the royal albert hall
5670,memphis rounder
5671,suspense
5673,"the montreal tapes, joe henderson, al foster"
5674,lonesome blues
5675,flashes: a lifetime in words and music. solo 7-string guitar
5676,light classics
5677,"20 blues classics"
5678,il nastro del cervello
5680,the yoga of sound - relaxation
5681,harry arnold big band
5682,the life and crimes of alice cooper
5683,urban sax
5684,o'ver
5685,be my love
5686,live in england
5687,the very best of sting & the police
5688,one love
5689,para ouvir e sonhar
5690,radio cookie scene
5691,perfect world
5692,live at the marquee
5693,dan bull
5694,baby
5695,stevie's blues
5696,out of tears
5697,hitomi no kakera
5698,gelsenkirchen
5699,leavin
5700,stone buddha
5701,brave as you are [ep]
5702,regulate ( the jamming remix );
5703,merry merry sweet love
5704,only love
5705,afresh wish
5706,waiting for tonight
5707,i ain't mad at chasingle);
5708,stay in the shade [ep]
5709,wicked blue
5710,es ist jazz
5711,photograph
5712,lets talk about sex (maxi cd);
5714,on every street - limited edition
5715,dear angel
5716,dream x dream
5717,eggstone
5718,single - party all night
5719,someday
5720,l'oreal paris maxi
5721,ichido asobi-ni kiteyo
5722,hitorigotomitainiaisiteta
5724,get that love
5725,zlote przeboje
5726,triceratops
5728,limited edition cds
5729,it's tricky
5730,witness ep
5732,laundry
5733,gospel for asia minuite
5734,loverbeast
5735,fanatic (maxi-cd);
5736,super (cd-single);
5737,the congregation
5739,pullover remix (maxi);
5740,twisted
5741,keep on jumpinsingle);
5742,blue moses
5744,adam's apple
5745,charles mingus presents charles mingus
5746,ciao ciao trovaioli
5747,"cellar door dec. 19, 1970"
5749,when the lights are low
5750,big town playboy
5752,nuages
5753,jumpin' and jivin
5756,jazz in america
5757,louisiana blues & zydeco (rmx);
5758,the wonderful world ofof
5759,john hammond
5760,tha eastsidaz
5761,esta es mi historia
5762,"if you love these blues, play 'em as you please"
5763,handmade piedmont blues
5764,the 20 greatest songs
5765,omonimo
5766,die deutschen tophits 1995
5768,fevereiro 22
5769,the best of procol harum
5771,blue grooves
5772,zildo selecao
5773,self-titled
5774,the rest is history [explicit lyrics] [from us] [import]
5775,el color del amor
5776,leap year jazz
5777,no way
5778,por la sombra
5779,triangle
5780,the new danger
5781,damn right i've got the blues
5782,summerjam
5783,things we do for love ( single);
5784,believe me (japanese version);
5785,the heat bros. '84
5787,þangað sem vindurinn blæs
5788,let it snow
5789,çå
5790,boogie thing
5791,these words
5792,you remind me
5793,blue sky
5794,language of numbers
5795,dive dive dive (ep);
5796,silent circus
5797,colors
5798,dance with me
5799,generation b
5801,silver bells
5802,ooh la la
5803,rena & neko betty ver.1.0
5804,i call your name
5805,grin and bear it
5806,a crown
5807,wait these days (ep);
5808,uh uh.feat.ai ï baby be mine
5809,drain away
5810,seamless singles
5811,fence
5812,a merry christmas song
5813,rame
5814,you gonna need a backup
5815,no exit
5818,okahumkee
5819,let go
5820,phill
5821,after hours rochester 28-81
5822,warren's house
5823,my prerogative (cds);
5826,einde walz
5827,nova
5829,power of soul
5830,indo-jazz suite
5832,jazz.it's magic
5833,jazzopen stuttgart 2004
5834,for consequence
5836,one night with blue note
5837,music for the mind - vitalization
5838,borinquin
5840,phil woods and his european rhythm machine
5841,back at the village
5842,for musicians only
5843,"shame, shame, shameof"
5844,á bailar como en los sesenta
5845,live in sindelfingen
5846,the best of b.b. king
5847,chet baker sings (stereo);8
5849,engel
5850,remember shakti - saturday night in bombay
5851,sas 209 - russia today
5852,albert
5854,the köln concert
5855,herscheiße
5856,an introduction to billie holiday - her best ings
5857,camel caravan broadcasts
5858,uruguay
5859,"1939 to 1940"
5860,questa bossa mia
5861,blues and ballads
5862,his complete vee-jay ings
5863,island in the sun
5864,cheerful little earful
5865,good life just say so
5866,a's b's and rarities
5867,vv may 2005 swap
5869,"weihnachts oratorium, bwv 248of 2"
5870,etoiles de la chanson
5871,john lee hooker story
5873,"commercial hotel, insch, aberdeenshire"
5874,tha carter
5875,singles a's & b's ii
5876,an anthology volume ii
5877,when i fall in love
5878,ben jamming
5879,"10 a.m. automatic"
5880,the grande royale
5881,tribute
5882,here's to the night
5883,toby's songs 2004
5884,love worth dying for (ep);
5885,laura robinson
5886,dangerous sex
5887,eternal white
5888,doin' it (maxi);
5889,"5 step [remix]"
5890,double or nothing (8cm);
5891,i'll cry for you
5892,queensryche
5893,unified rebelutionsingle
5894,maverick
5895,why can't we live together (single);
5896,space cowboy
5897,even better than the real thing
5898,killing me softly (single);
5899,run baby runsingle);
5900,sunshine love
5901,petit suite
5902,wonderful onemaxi single);
5903,you're the only one
5904,dance with me (cds);
5905,lost a lot of blood
5907,un-break my heart
5908,m.c.a.t'nk.t
5909,decadence dance
5910,frame
5912,pilot single
5913,spirit
5914,so sad
5915,remember red blue
5916,state of grace
5917,take it slow
5918,venture business
5919,will i ever be like frank sinatra
5921,standing on the rubble
5922,live at the montreal jazz festival
5923,set the tone
5924,blues master ii
5925,i need a girl - single
5926,motherland ep
5927,manteca
5928,leave get out (single);
5929,empyrean isles
5930,majesty
5931,zephyranthus
5932,bluesheath hit factory
5933,arrows
5934,page 2
5935,four moments
5936,galvanize [jpn]
5937,live at freebody park
5938,veterans memorial coliseum new haven 19-80
5939,spring
5940,witchi-tai-to
5941,pan-centric
5942,live in cleveland 2005-11
5943,the bikini tapes
5944,sol do meio dia
5945,lachen verboten
5947,be rich
5948,"complete capitol fifties sessions,4"
5949,jetzt funkt's aa
5950,circles
5952,mississippi blues giant
5953,a change of seasons
5954,solo jazz piano
5955,masters of jazz - django reinhardt
5956,cobra ings
5957,washboard blues
5958,"22 greatest hits"
5961,paisaje colombiano
5962,at the gypsy tea room
5963,"runter mit den spendierhosen, unsichtbarer"
5964,nuit étoilée - concerto pour piano
5965,blue for you - the very best of nina simone
5967,personalidad
5968,new age atmospheres
5969,"38"
5970,a portrait of
5971,trésors du saxophone
5972,routine jazz 06
5973,golden greats
5974,the collection interview
5975,stay in my heart
5977,"20 super sucessos"
5978,moments like this
5980,on tour sessionneil & nano dj
5981,live at cezanne
5983,sas 071 - authentic philippines
5984,django festival-gypsy swing today 2
5986,creole jazz
5988,big t 4: gotta right to sing the blues
5989,message en rouge anniversaire
5990,live . with a little helpfriends
5991,live with a little helpfriends
5992,a word to the wise guy
5993,anastacia
5995,like a dandelion
5996,it's all about you (not about me);
5997,one tongue (cds);
5998,pain
6000,i can't make you love me
6001,vale callampa
6002,death to the apple gerls
6003,return to brixton
6004,we should be together (m-cd);
6005,anytime anywhere
6006,rebone
6008,quelle aventure remixes
6009,days
6010,i won't bleed for you
6011,shinin'on-shinin'love
6012,lullabies
6013,midnight in new orleans
6014,oh no cds
6015,sour times
6016,dog fight
6017,luchini aka (this is it);
6018,ben sidran - clementine
6019,was auch immer
6020,come away with me (bonus cd);
6022,ragin' river bonus cd
6024,ani't to proud to beg
6025,damage (limited edition bonus remix cd);
6026,in the closet
6027,direct
6028,a rose is still a rose (the remixes);
6029,suite for friends
6030,secret riots
6031,the rite of spring
6032,schwarz auf weiß
6034,american swinging in paris
6035,charisma
6036,the hank jones quartet
6037,new york city r&b
6038,returns to the village gate
6039,before the dawn
6040,a meetingriver
6041,friday the 13th cook county jail
6042,gone with golson
6043,zodiac collection libra
6044,supernature - the danny tenaglia remixes
6045,sahara dust
6046,live in paris 1972
6047,first miles
6048,made in europe
6049,in hamburg
6050,wysiwyg
6052,here & now
6053,the queen of heaven
6054,cowboy bebop cd-box03
6056,strictly the blues
6058,rooted: origins of now - the miyumi project big band
6060,cambridge corn excange
6061,big joe turner greatest hits
6065,first thus
6066,retrospection
6067,you make me feel so young
6069,i feel so good
6070,blues in the cave - album n1
6071,on the cusp of fire and water
6072,sings the blues & 'nuff said
6073,the cosmic dance of tao
6074,unified and one
6075,live 2002
6076,big fun
6077,she moves me
6078,when two or more are gathered
6079,talismans & charms
6080,a buck clayton jam session
6081,in 1978 there was
6082,the hits of ray charles
6083,house of the blues
6084,sextet
6085,milt jackson: early modern
6086,pistol pete
6088,distino di belita & la diva aux pieds nudes
6089,star hotel
6090,the blues never die
6091,mescalero
6092,"21 of the best"
6093,unreleased demos:
6094,let's go
6095,mach die augen zu
6096,next to you
6098,nicht versetzt
6099,one wish
6100,freak on
6101,before you cry
6102,venus as a boy
6103,one love makes me sad
6104,get out of controlsingle
6105,killing me
6107,java wa java in the book of godiego
6108,secret
6109,monkey game
6110,dear mama remixe eusingle
6111,let me go
6112,last night i saw a reindeer
6113,never say whyïnever say no
6114,rumpelstilzchen
6115,japanese industrial students
6116,red[fujifilm]
6117,tender blue
6118,jamento
6119,akenaiyoruga kurukotawanai
6120,and - or
6121,say hello
6122,winter 2001
6123,lifedoor
6124,sex on the beach promosingle
6125,all around the world
6126,wonder
6127,livetexas
6128,smooth criminal
6129,running free - sanctuary (ep);
6130,burn to shine - bonus tour
6131,samba
6132,father don't cry
6133,for love (maxi);
6134,the first ing
6135,intervention
6136,parisian sketches
6137,the avant-garde
6139,"live, down and dirty at dirty harry's"
6140,soul alive (first show);
6141,live at cambridge 1971
6142,the gap
6143,gulfstream
6144,mark-almond i
6145,zodiac
6146,to be continued
6147,night child
6149,zodiac collection leo
6150,munster 05-72
6151,johnny be good - live 80
6152,"9 eleven"
6154,captured live
6156,the crazy cajun ings
6157,de profundis out of the depths ii
6158,jazz suite
6159,rimsky-korsakov : scheherazade (celibidache mpo);
6160,everybody loves somebody
6161,that's how it is
6162,"frau rettich, die czerni und ich"
6163,back home blues
6165,the beatles anthology
6166,gems of texas ragtime
6167,black blues (acoustic);
6168,the supremes gold
6171,john kerr - norland revisited the 20 year jubilee limited ed
6172,legendary singers
6173,oersted
6175,good old vintage
6176,blues harmonica jam tracks & soloing concepts 2
6178,the voice of the delta
6179,the fillmore concerts
6180,mes chansons préférées de moi
6181,louder and funnier
6182,thriller (special edition);
6183,images - the best of
6184,camelot & thinking of you
6185,big band classics
6186,tha doggfather
6188,canzoni
6189,"10-31"
6190,the chess box set
6191,just the two of us bill withers best
6192,more friends (small world big band volume two);
6194,calling all girls
6195,if you only knew ep
6196,sanitätshausblues
6197,bluetones
6198,make my day
6199,pink
6200,mamas and the papas
6201,pau hana
6202,now there is a tree of ghosts
6204,j.p.s
6205,destroy 2000 years of culture e.p
6206,higher ep
6207,woofer looper
6208,ahum
6210,skylovely
6211,ca plane pour moi
6212,start
6213,suicide blondesingle);
6214,andrew strong
6215,may be
6216,manny
6217,those my old days
6218,the vge's christmas time out
6219,nocif
6220,victorine ep
6221,merrychri
6222,als men het niet goed meer weet
6223,move it to the rhythm (single);
6224,stadthalle vienna 20-05
6225,butterfly
6226,live passage
6227,morris civic auditorium 04-74
6228,"hold on, i'm comin"
6230,aria
6231,blasé
6232,flat-out jump suite
6233,the incredible jimmy smith at club baby grand
6235,sunflower
6236,north wind 2000
6238,four seasons
6239,the complete candid ings of cecil taylor and buell neidlinge
6240,seasons
6241,at the village vanguard again
6242,oscar peterson jam montreux '77
6244,live at the jazzclub unterfahrt
6245,junko onishi trio
6246,live volume one
6247,going down slow
6248,the very best of the platters
6249,lito
6250,quiet before the storm
6251,"8 years old (original version);"
6252,his first ings
6253,countin' the blues
6254,"11-01"
6256,after you've gone
6257,in order to survive
6260,"2nd stage"
6261,remember me
6262,"lieder atmen, lieder tanken"
6263,the hit box
6264,american music a panorama
6265,le jardin du luxembourg
6266,braided
6267,hot st); country grammarsingle
6268,funny hats demo
6269,unforgetable momenst
6271,lord we need a bless n
6272,dolores nervosa
6273,over drive
6274,my best
6275,sekai ni hitotsu dake no hana (single version);
6276,july
6277,stop promo
6278,story of the blues
6279,this beat is technotronic (1992 rmx);
6280,"swing, shake & boogie"
6281,wish i didn't miss you so (maxi single germany);
6282,boy meets girl
6284,oxygene 8
6285,full of smoke - single
6286,orbit
6287,"gåos, ktãry rozpala zmysåy"
6288,mr. polygot remix
6289,"everyman, everywhere"
6290,new dawn f
6291,my song
6292,eyes of truth
6293,lost to apathy
6294,gigi gryce - clifford brown sextet
6295,polson & solberg jazz demo
6296,what's my name (uksingle);
6297,long long way
6299,it's packedlive side);
6300,celias oye como va - remixes
6301,heaven live
6302,the beginning and the end
6304,flute flight
6307,seventh sojourn
6308,oxygene
6309,my favorite things
6310,paris live 1980
6311,beyond the rain
6312,animals
6313,soft
6314,westfallenhalle dortmund 18-89
6315,snow in the desert
6316,the tenor scene
6317,kind of blue
6318,crack the bends
6319,cherry bat
6321,jazz goes to junior college
6322,still live 1
6324,a tranqüilidade dos sons da natureza
6325,best ings
6326,you're tuff enough
6327,complete savoy ings w. johnny otis
6328,flow
6329,infinite pool
6330,all the hits & more
6332,deltron 3030
6333,gershwin: remembrance andovery
6334,a musical portrait
6335,mercy & see-saw
6336,mystery theatre
6337,the complete
6338,"oh, my lord"
6339,live at village vanguard
6340,my funny valentine - miles davis in concert
6342,squeeze my lemon
6344,georgia bound
6345,the roots of john lee hooker
6348,mississippi john hurt
6349,long ride home
6350,america's 1 band - the columbia years
6351,non troppo
6352,seize the light
6353,blue train
6354,live in stockholm
6355,bass patrol
6356,ool-ya-koo
6357,the definative ray charles
6358,encore
6360,the definitive ray charles
6361,king of the blues (
6362,niglo de gadoue
6364,lovec ivos za stromem skryty
6365,blueshouse
6366,uhh ahh
6367,sky sky sky
6368,s rosebett
6369,kissin' you (single);
6370,identity
6371,back in love again
6372,its all outta lovin yousingle);
6373,siamãshadeã7
6374,grandes mitos
6377,drop dead beautiful (mcd);
6378,flip flap e.p
6379,burnin' live
6380,blues in my soul
6381,piety street session
6383,bubble gum gangster
6384,walking in the rainïstars to shine again
6385,november moon
6386,tub
6387,"live at robert wyatt's meltdown festival, gateway studio lon"
6388,elm
6389,way back when
6390,the john coltrane quartet plays
6391,guitarscapes
6392,tarik
6393,souvenirs
6394,the harmony of hearts
6396,party songs - sings & plays
6398,love me tender
6400,total balance
6401,morning blues
6402,the story
6403,platinum
6405,tanto amor
6406,lucky sounds
6407,ühendatud inimesed
6409,the best of big band glenn miller and friends
6410,tones
6411,anos 70's - o som dos grandes amores
6412,the sweetheart of sigmund freudone
6413,my miracle
6414,mehr als musik - ep
6415,sas 055 - authentic australia
6419,the imaginary man ep
6420,another world
6421,caramba
6422,in those jeans cdm
6423,im a hustla
6424,set me free
6425,off the track
6426,barkin' blues
6427,sweet raging battles
6428,sascha klave
6429,not much less further than last time
6430,free throw
6431,cowgirl blues
6432,get down (you're the one for me);
6433,still no hits
6434,jordan
6435,la marie en septembre
6436,stand apart
6437,official bootleg
6439,gold and guns on 51
6440,we've got it goin' on
6441,late night brubeck (radio promo cd);
6442,baby don't cry
6443,last second chances
6444,climb any mountain (cd-single);
6445,amefrica
6446,six
6447,surrounded
6448,remix man
6449,breathing (airwave);
6450,midnight dejavu shikisai no blues
6451,the midnight creeper
6452,tony o connor
6453,center of the sun (cdm);
6454,the grace eps - the grace ep
6455,outpost
6456,roswell rudd
6457,manhattan jazz quintet
6458,meditations
6460,"november 5, 1969"
6461,our colline's a tresure
6462,brilliant corners
6463,trio 1
6466,nada plays compositions
6467,live messengers
6468,still live
6470,paul quinichette on the sunny side
6471,have no fear
6472,check your head
6473,weather
6474,rum cola blues
6475,deja vu modern times
6478,"the banner of st. george, etc"
6479,gong semara dana
6480,optic
6481,spoonful
6483,the shirley bassey singles album
6485,blue train (castle pulse);
6486,"the big band era [charly 15, 1995] [swing that music]"
6487,fascinating rhythm
6488,essential leo kottke
6489,please remember me:
6490,sammy price & the blues singers
6491,the elektra years 1
6494,star time mr. dynamite
6497,there'll never be another you
6498,goin' to brownsville
6499,papajo
6500,at his very besttwo);
6501,sas 059 - authentic poland
6502,gold - greatest hits
6504,room for squares
6505,"08-10"
6506,all-time greatest hits
6507,lennon legend - the very best of john lennon
6508,the love below
6509,"come away with me, hamburg"
6510,schnockered
6511,monster's spirits
6512,birthday songïhappy birthday
6513,telephone call
6514,swing when youre winning (playback);
6515,cant help myself (m-cd);
6516,baggefudda darmstadt
6517,kaizoku bang
6518,radio promo
6519,latitudes
6520,breezin' ãtogetherã
6521,mississippi kid
6522,softly
6523,eufonius
6524,autumn interlude ep
6525,i wish (promo cds);
6526,åç
6527,all tangled up
6528,songs for detourer
6529,letting go
6530,got to get it [us version]
6531,project sine
6532,j' selection
6533,when lights as low
6534,joy
6535,a wilder alias
6537,timeless hart
6538,traneing in
6539,star bright
6540,polar ac
6541,snurdy mcgurdy and her dancin' shoes
6543,the met center
6544,miles davis at carnegie hall - the complete concertof
6545,auld lang syne
6546,docks konzerte hamburg 16-89
6547,elio samaga hukapan kariyana turu
6548,move your hand
6549,plays standards live at the blue note osaka
6550,song for
6551,jam gems
6552,miles&coltrane
6553,live volume three
6555,and the angels sing
6556,free will
6557,ballads of the day
6559,guest spot classic blues
6561,the mix tape 2004
6562,bad liquor blues
6564,all over again
6565,moanin' and howlin
6566,giants of jazz (feat.e.marksdale and s.stewart);
6567,mississippi blues
6569,"88"
6570,the complete ed works in chronological order 1928-32
6571,let's jam 21 blues and jazz jam-along tracks
6572,the best of john hammond
6573,do your duty
6574,the bluesmen
6575,the gratest jazz
6576,bravo hits 28
6577,golden greatsof
6578,rapid reading & listening advaned 1000 ver.2
6579,the very best of o.c. smith
6580,evil the end
6581,speed of sound
6582,something's got a hold on me
6584,in silent way
6586,the best of peter green's fleetwood mac
6587,koysanki-utulanki
6588,the jazz session
6590,the good luck pig
6591,sarki tangó
6592,surf side attack
6593,abyssal throne
6594,no.3 1985
6595,playgound singing in the playground
6596,"well, it mus be time"
6597,conni-wolf-band
6598,hie u jetzt
6599,heat
6600,world is bankrupt
6602,hdr
6604,million years gardener
6605,for what it's worth
6606,the spirit of columbia
6607,earth wind & fire let's groove
6608,nu world
6609,cold day in hell e.p
6610,southbound
6611,time after time hip hop soul version
6612,stranger in moscow
6613,ben
6614,"afternoon, van"
6615,underfunk
6616,the gerry mulligan quartet
6617,jazz argentino
6618,blues-ette
6619,salt song
6620,indeed
6621,ys
6622,sporthalle offenbach 17-90
6623,wilder 'n wilder
6624,open sesame
6625,sporthalle st wendel 20-90
6626,hold that plane
6627,advance
6628,hartwall arena helsinki 05-05
6629,the modern touch
6630,the thing to do
6631,chromatic phrygian
6632,talkin' about
6634,live at yankee stadium
6635,no. 3
6636,"live at the old office, march 1998"
6637,eolith city
6638,in pas(s);ing
6639,thinking of home
6640,implosions
6641,garage
6642,springfield civic center springfield 17-80
6643,montreal 2002
6644,jazzbühne berlin 1984
6645,sweet pumpkin - mori shinji trio live at hasami
6646,birdology
6648,blue stone
6649,serenade & blues
6652,irish streams
6653,galilee
6654,fierce wisdom
6655,live 7-89 chikago
6656,passo fundo
6657,the cream remasters 4 - live at the fillmore
6658,oh baby
6659,charged live
6660,soul
6661,oceanos
6662,the complete chess studio ings
6663,amor de mis amores '93
6665,the voice of jazz - the complete ings
